Turning,time(ms),std(ms),Space search(s),tile_i,tile_j,tile_k,order
GridSearchTuner,0.0965,0.0000,71.88,32,32,16,ijk
RandomTuner,0.0965,0.0000,69.34,16,32,16,jki
GATuner,0.0968,0.0003,120.40,64,16,16,ijk
XGBTuner,0.0974,0.0002,224.67,64,16,16,jik
